dataset,model,family,window_type,n_folds_scored,n_folds_failed,n_points,mae,rmse,wape,mase,mase_undefined_reason,mape,smape,coverage,coverage_error,calibrated,interval_width,width_pct_of_mean,pinball_lower,pinball_upper,pinball_mean,fit_seconds_total,fit_seconds_per_fold,series
retail,prophet,gam,rolling,6,0,84,32.268360619564795,40.32845422821853,5.635574551517647,0.3267190153338657,,5.683598393428701,5.818270414047523,1.0,0.09999999999999998,False,409.5476136630714,71.5262896806412,10.882677737659574,9.594702945494005,10.238690341576788,2.9527534999651834,0.4921255833275306,Riyadh/Grocery
retail,sktime_theta,gam,rolling,6,0,84,41.6192390618863,52.306937222263045,7.268678048939536,0.42139719973873424,,7.018434818342071,7.325334754174616,1.0,0.09999999999999998,False,330.3115309857273,57.68794020999458,7.892562950319462,8.62301359896691,8.257788274643186,0.4583672998705879,0.07639454997843131,Riyadh/Grocery
retail,lgbm_quantile,ml,rolling,6,0,84,31.68995170762541,40.9401895670775,5.534557131298282,0.320862591687274,,5.636771267176574,5.734076399770402,0.6904761904761905,-0.20952380952380956,False,86.78205089498002,15.156230690434583,4.221854705350396,8.18654548699668,6.204200096173539,24.41530240001157,4.069217066668595,Riyadh/Grocery
retail,lgbm_conformal,ml,rolling,6,0,84,33.37556509940072,43.68924768298926,5.8289445669161495,0.33792952465257914,,5.9848712923248275,5.994601107848214,0.9761904761904762,0.07619047619047614,False,270.8849854409361,47.30926830579585,5.902847016931718,7.87426019983276,6.888553608382239,14.766444299952127,2.461074049992021,Riyadh/Grocery
retail,lgbm_global,ml,expanding,6,0,84,17.400135703808058,22.210389303643087,14.120484968794097,0.7815955992643182,,14.376912515733883,14.254890482918562,0.4166666666666667,-0.48333333333333334,False,26.53528945707501,21.533806534579274,3.4317039609876527,5.017152720638011,4.224428340812832,0.0,,Dammam/Electronics
retail,lgbm_global,ml,expanding,6,0,84,29.770818486965204,39.538206689890835,7.363156237390918,0.4590176683613149,,7.455058760817937,7.334872193120884,1.0,0.09999999999999998,False,5904.2849306517355,1460.2948331264781,12.209707353320827,283.00453917926626,147.60712326629354,0.0,,Dammam/Grocery
retail,lgbm_global,ml,expanding,6,0,84,17.438607414029804,21.817227508458597,11.2455321877668,0.5591130952334409,,11.90841316185507,11.785180531374305,0.6309523809523809,-0.2690476190476191,False,42.767383000137066,27.579150714045085,2.817740769766683,3.43432751437348,3.1260341420700817,0.0,,Jeddah/Electronics
retail,lgbm_global,ml,expanding,6,0,84,84.58796587010468,160.91563457003423,16.301998653440997,1.073413328655136,,13.605227989507412,12.554791320996225,1.0,0.09999999999999998,False,16017.07263057987,3086.849219861215,19.297679148041546,781.5559523809528,400.4268157644972,0.0,,Jeddah/Grocery
retail,lgbm_global,ml,expanding,6,0,84,27.066600935975945,38.35020610256144,14.97657913590659,0.7460474348394692,,14.368480766059022,14.404649827961677,0.6785714285714286,-0.22142857142857142,False,68.20166484372032,37.737565686532555,3.7594768375843755,6.257133141054132,5.008304989319254,0.0,,Riyadh/Electronics
retail,lgbm_global,ml,expanding,6,0,84,32.48115568272379,42.5700984630922,5.672738585252299,0.3663852002993439,,5.698329682454392,5.724691163007976,1.0,0.09999999999999998,False,1683.2262983623998,293.97053675373013,15.06743737553812,69.09387754258194,42.08065745906003,0.0,,Riyadh/Grocery
retail,lgbm_global,ml,rolling,6,0,84,18.48898638915761,23.551580926014513,15.004104498978254,0.7970626175756337,,15.91669900280474,15.339718577106417,0.4642857142857143,-0.4357142857142857,False,28.071055255866966,22.780104738603278,4.625562499799038,4.752224871555065,4.688893685677051,0.0,,Dammam/Electronics
retail,lgbm_global,ml,rolling,6,0,84,31.434613986356194,40.73384850833216,7.774659408338251,0.46818750205252097,,7.89642605675448,7.854177297096079,1.0,0.09999999999999998,False,8758.00926166357,2166.1006918697994,12.518479591519135,425.38198349165975,218.95023154158943,0.0,,Dammam/Grocery
retail,lgbm_global,ml,rolling,6,0,84,18.914577320921282,24.40559319693833,12.197332219847903,0.585713525913401,,12.624952052612844,12.63499004202945,0.4166666666666667,-0.48333333333333334,False,26.21354747787331,16.90417617182065,4.2567639869522464,6.137631746262402,5.197197866607324,0.0,,Jeddah/Electronics
retail,lgbm_global,ml,rolling,6,0,84,879.5965684121069,3387.1641388961634,169.5179914344445,10.147733631651267,,135.9367921426747,30.159957755763127,1.0,0.09999999999999998,False,16068.44386221064,3096.7496086488636,21.866240729579722,781.5559523809528,401.7110965552663,0.0,,Jeddah/Grocery
retail,lgbm_global,ml,rolling,6,0,84,28.285268278421075,38.991247900599305,15.65089608976596,0.7251861335212211,,14.993190882301901,15.08905903590248,0.6309523809523809,-0.2690476190476191,False,56.92066990183418,31.495529093960023,4.415499966299909,7.389057285566891,5.9022786259334,0.0,,Riyadh/Electronics
