dataset,window_type,model,family,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,wape_mean,wape_std,wape_min,wape_max,mase_mean,mase_std,mase_min,mase_max,coverage_mean,coverage_std,coverage_min,coverage_max,interval_width_mean,interval_width_std,interval_width_min,interval_width_max,pinball_mean_mean,pinball_mean_std,pinball_mean_min,pinball_mean_max,fit_seconds_mean,fit_seconds_std,fit_seconds_min,fit_seconds_max,n_folds,n_failed
economic,rolling,prophet,gam,5.638979761049208,2.6728524672818783,2.6542334775280856,10.159890997803606,6.205345047076011,2.5305798561201174,3.7667144265274763,10.311476636565954,3.7733812950200467,1.7912333624279366,2.0135795758210286,6.8398350597843045,0.5812174768913264,0.2935660053703255,0.3097874992008659,1.0695325742802666,0.38888888888888884,0.3103164454170876,0.0,0.8333333333333334,7.5031121237621266,1.4414475208434323,5.224071035774007,8.986179805252894,1.4640880745387008,1.1554066008623607,0.41566391699393535,3.393068969306878,1.6226678666619894,0.2746871208066805,1.238668999983929,2.0032098999945447,6,0
economic,rolling,sarima,classical,2.9260613074836552,1.4889862557581655,1.2232954387508101,5.5852115291162265,3.5065491474194808,1.6650165846296505,1.585818168424285,6.599510343604926,1.9938333810826319,1.0443445596421992,0.7716410635629961,3.760072390680105,0.3092167854199898,0.16919907775326143,0.10305593671137282,0.5879556843598897,0.9166666666666666,0.2041241452319315,0.5,1.0,13.875904978279694,2.932754403237297,10.914747784477356,17.92011923385191,0.442852482994832,0.20873768065994103,0.2769811311880831,0.8485978458389709,1.14543850000094,0.3139765277536059,0.7971312999725342,1.51567440002691,6,0
economic,rolling,seasonal_naive,baseline,9.654722222222222,5.753574291658154,2.6700000000000017,16.72333333333333,9.913949441168961,5.629540932160283,3.071525136909459,16.76823783228279,6.430171860512676,3.732610190544379,1.6877192612804344,11.258471343296977,0.9801823976740699,0.5825273964101012,0.2616311115647649,1.7604666973704408,1.0,0.0,1.0,1.0,42.45666666666667,2.918158780235691,36.5,43.648,1.061416666666667,0.07295396950589232,0.9125000000000004,1.0912000000000006,0.0002925833493160705,3.679582787636541e-05,0.00025949999690055847,0.0003649999853223562,6,0
economic,rolling,sktime_theta,gam,4.795474669852551,3.9026284434011322,1.427633631634426,12.320601004795904,5.476509466886146,3.7957001775309265,1.9522036680583557,12.661805297354421,3.2219689634970723,2.6307470574702414,1.010678299270416,8.294466813515488,0.49415516586782643,0.4157637187813764,0.16509604239875794,1.2969906972612308,0.8055555555555555,0.40023141454061945,0.0,1.0,18.66065217360631,1.8621054657848153,15.791176286277093,20.53357199104383,0.702842501064691,0.5703840330958281,0.4245499738087266,1.8645623938038662,0.06175701667477066,0.0011987820776962375,0.0608063000254333,0.06395949993748218,6,0
intermittent,expanding,ets,classical,0.7424651603338727,0.3263709738466117,0.3715334317447135,1.1172308188287794,1.2333543283930664,0.798262409264051,0.3715334317447134,2.1895407836766574,239.75161242440325,197.02167542494712,100.0,561.1193439236926,1.078481556041261,0.48386645330239575,0.5391187243614778,1.6544524466060222,0.9107142857142857,0.0832117675015311,0.7857142857142857,1.0,2.719195668749237,0.02971718844582818,2.666110343085372,2.753622085911035,0.15660534347303856,0.0996748177852225,0.06737976174328934,0.30478773160462164,0.7613239249621984,0.05699228286219079,0.6670356999384239,0.8423294000094756,8,0
intermittent,expanding,lgbm_conformal,ml,0.8969951135510464,0.2328998805558836,0.6457938989277364,1.312763013099554,1.6107650461204965,0.5948443164710548,0.842176564315481,2.2972089161944105,410.96813561414314,518.73994681641,85.45983624971886,1489.5605300943985,1.3003052226201164,0.34870979450900375,0.937088168231311,1.9337380483416668,0.7946428571428571,0.1594336733877525,0.42857142857142855,0.9285714285714286,2.3522258383179864,0.7826676759232916,1.081187579401034,3.1001452497837927,0.22079910836565156,0.10829849611456081,0.07802848911490999,0.3598823028078464,1.812820812498103,0.040257238434369354,1.7526781000196934,1.8553833999903873,8,0
intermittent,expanding,lgbm_global,ml,0.4971031826090902,0.39831111880842535,0.014537690696609434,1.4295653279853175,0.9849116288925281,0.7715925249290264,0.023483480320847166,2.3608480460927357,181.33233904221785,191.97727623586803,100.0,885.4397628122658,1.2619670400444312,0.989916839620433,0.09507649715582571,4.0449912706665705,0.7299107142857143,0.23286178997935608,0.2857142857142857,1.0,0.4611637066121255,0.09004979373482842,0.3217444248420994,0.653685090317772,0.18831800227364712,0.17120515292966376,0.008247039850985762,0.6215906944233947,,,,,32,0
intermittent,expanding,lgbm_quantile,ml,0.603410527305143,0.3568020187664042,0.04083848675597795,1.0417815990391208,1.2970838564820797,0.8889171751653275,0.10462277089923361,2.2963191723823515,193.11098852331293,151.21098386869465,99.01020493191737,538.9619999207935,0.8766559336594646,0.5247889388173326,0.05925925099484459,1.5345745546011946,0.8125,0.30529224158120905,0.07142857142857142,1.0,1.1655474333598506,0.7287610075881207,0.3910112961188993,2.543225639041847,0.19088782848896307,0.14865932459261655,0.015800711461228405,0.3667923510789654,2.688691450006445,0.16141765630998894,2.4788631999399513,2.9139038000721484,8,0
intermittent,expanding,prophet,gam,0.9143150715926357,0.319665924118893,0.418082521754169,1.327422649326851,1.3592985865911251,0.6737851184481802,0.4604235214460181,2.1461394955754676,364.48040341294046,409.31986483584797,100.0,1261.9465301993146,1.3250385622573864,0.4689870836365403,0.606664425183709,1.9553321183030379,0.9375,0.07078794349750821,0.8571428571428571,1.0,2.9043422051351593,0.3850141991513963,2.4259904505283276,3.47436685553117,0.15539951971769927,0.09305249169426959,0.06782756816110601,0.2941571345820681,0.4042085125402082,0.01451310427824549,0.3889457000186667,0.43440070003271103,8,0
intermittent,expanding,sarima,classical,0.720916076990208,0.3224754436310838,0.334173259222886,1.0787858062760285,1.2314752358824543,0.8113133495235805,0.33418019695902257,2.201587421726669,234.39003546466944,192.47549006691307,100.0,560.776265493509,1.0471223601006439,0.47760230363586276,0.48490672934044304,1.5975211088683314,0.9107142857142857,0.0832117675015311,0.7857142857142857,1.0,2.6803520850506035,0.04425558137279689,2.602337198123869,2.7429164303765154,0.1577039327072085,0.10121944019511281,0.0661935438921077,0.30763421149702674,5.332999837497482,0.8779636572223314,4.088660699897446,6.896274800063111,8,0
