dataset,series,window_type,fold,model,family,train_size,test_start_date,test_end_date,horizon,fit_seconds,error,mae,rmse,wape,mase,mase_undefined_reason,mape,smape,actual_sum,actual_mean,all_zero_window,coverage,interval_width,width_pct_of_mean,pinball_lower,pinball_upper,pinball_mean,crossed_bounds_repaired,interval,order,seasonal_order,aic,bic,ljung_box_p,residuals_white_noise,lambda,ets_config,sp,n_train_rows,margin_h1,margin_hmax
workforce,workforce,rolling,1,sktime_theta,gam,365,2025-04-10,2025-04-23,14,0.07247110002208501,,5.448657883315882,6.95632396344085,6.04926331216672,1.2168555971472774,,7.027449702978679,7.187178495997001,1261.0,90.07142857142857,False,0.7857142857142857,27.03654500850239,30.016782721572838,0.6297498275508555,1.2893758989960946,0.9595628632734751,0,sktime predict_interval / predict_quantiles,,,,,,,-0.29999999999999993,,7.0,,,
workforce,workforce,rolling,2,sktime_theta,gam,365,2025-04-24,2025-05-07,14,0.08756769995670766,,5.345506764770562,7.256390749213981,6.001370866622924,1.159812982901734,,5.855467715573648,5.700930625353589,1247.0,89.07142857142857,False,0.8571428571428571,26.3460522544252,29.578567085962533,0.8008307628272782,0.7681326472231816,0.78448170502523,0,sktime predict_interval / predict_quantiles,,,,,,,-0.17499999999999993,,7.0,,,
workforce,workforce,rolling,3,sktime_theta,gam,365,2025-05-08,2025-05-21,14,0.07267549994867295,,5.699533309345794,6.986092155621383,6.567363484019845,1.2095038083851775,,7.1138474918676255,6.922851095234589,1215.0,86.78571428571429,False,0.9285714285714286,26.29937251320545,30.30380371891986,0.47603329018505713,0.8691544936891322,0.6725938919370946,0,sktime predict_interval / predict_quantiles,,,,,,,-0.16249999999999998,,7.0,,,
workforce,workforce,rolling,4,sktime_theta,gam,365,2025-05-22,2025-06-04,14,0.0854122000746429,,5.322537530973003,6.342990895585285,6.112840478558002,1.0976200668711606,,7.111406663752105,7.4377772492899386,1219.0,87.07142857142857,False,0.7857142857142857,25.200085711596067,28.94185397558203,0.6351447723044327,1.155283229095599,0.8952140007000158,0,sktime predict_interval / predict_quantiles,,,,,,,-0.1499999999999999,,7.0,,,
workforce,workforce,rolling,5,sktime_theta,gam,365,2025-06-05,2025-06-18,14,0.08198220003396273,,4.101500614864637,5.62234022410673,4.6419570418839875,0.835707012021366,,4.719385422492587,4.704642594629272,1237.0,88.35714285714286,False,1.0,25.766114585902525,29.161326127941418,0.5979640528306593,0.6903416764644676,0.6441528646475635,0,sktime predict_interval / predict_quantiles,,,,,,,-0.09999999999999998,,7.0,,,
workforce,workforce,rolling,6,sktime_theta,gam,365,2025-06-19,2025-07-02,14,0.07227030000649393,,5.211959163716953,6.158528321032055,6.040350024175276,1.043557819133484,,5.722514032085071,5.561843597121037,1208.0,86.28571428571429,False,1.0,26.827754395185345,31.09176833879096,0.38572200514898825,0.9556657146102799,0.6706938598796341,0,sktime predict_interval / predict_quantiles,,,,,,,-0.11249999999999993,,7.0,,,
workforce,workforce,rolling,7,sktime_theta,gam,365,2025-07-03,2025-07-16,14,0.0713672999991104,,6.300300497927439,7.209633105756804,7.229853030408536,1.2523640079167258,,7.986222377899618,7.943563962474595,1220.0,87.14285714285714,False,0.9285714285714286,26.006424005041676,29.843437382834715,0.48576093582071495,0.8742545470346688,0.6800077414276918,0,sktime predict_interval / predict_quantiles,,,,,,,-0.09999999999999998,,7.0,,,
workforce,workforce,rolling,8,sktime_theta,gam,365,2025-07-17,2025-07-30,14,0.08394159993622452,,3.113777212593381,3.5248830552148407,3.4379243672166666,0.6108121874566742,,4.007177380883071,4.070858081902306,1268.0,90.57142857142857,False,1.0,26.409017358952507,29.15822105878037,0.6329930843402256,0.6874577836074004,0.660225433973813,0,sktime predict_interval / predict_quantiles,,,,,,,-0.08749999999999991,,7.0,,,
workforce,workforce,rolling,9,sktime_theta,gam,365,2025-07-31,2025-08-13,14,0.07857270003296435,,5.878965999067192,7.10043079547896,6.702404233464225,1.1628010097602512,,6.68513461395844,6.558344075888269,1228.0,87.71428571428571,False,0.8571428571428571,26.62159224795547,30.350349468353144,0.4243440849503492,0.9960382818071711,0.7101911833787602,0,sktime predict_interval / predict_quantiles,,,,,,,-0.0625,,7.0,,,
workforce,workforce,rolling,10,sktime_theta,gam,365,2025-08-14,2025-08-27,14,0.07757060008589178,,4.372366668161834,6.112725133082696,4.948515226698922,0.8562950039397902,,5.1123475922785255,4.950043342041907,1237.0,88.35714285714286,False,0.9285714285714286,25.827760965661636,29.231095676577436,0.7313541373343739,0.7677975938344462,0.74957586558441,0,sktime predict_interval / predict_quantiles,,,,,,,-0.04999999999999993,,7.0,,,
